1	161011
1	161018
1	161020
2	161004
3	485136
4	325301
4	325309
5	316328
5	316467
6	732304
7	325882
7	325883
8	730407
9	730428
10	512222
10	512320
11	325613
12	702411
12	525
13	485136
14	607
14	161004
14	316324
15	606204
15	652214
16	510594
17	161022
18	212201
18	212314
18	212315
18	212358
18	316202
18	333201
19	485136
20	512220
21	512320
22	333201
23	306313
23	316130
23	540
23	325307
24	306104
24	316301
24	316316
24	316329
25	325314
25	325407
26	485233
27	730407
28	730203
29	601
29	620131
30	325308
31	730348
31	730407
32	560
33	300408
34	587
34	421410
34	421414
34	421447
34	421453
35	465402
36	730393
36	730436
37	540
38	333301
38	333302
38	333303
39	431102
39	433253
39	620143
40	740141
41	5129051
41	5129052
42	325304
42	325331
43	121010
44	730307
44	730348
44	730363
45	730307
45	730348
46	602
47	5129051
47	5129052
48	316801
49	5115011
49	5115012
49	5115013
49	5115014
50	730393
51	730357
52	325640
52	325663
53	730202
54	510594
55	591
55	588
55	590
56	730307
56	730363
57	107112
58	540
58	325201
58	325228
59	316611
60	433341
60	433351
61	485233
62	5163031
62	5163032
62	536302
62	536308
63	7023371
63	7023372
64	316801
64	540
64	325228
65	512120
66	620351
66	620361
67	702411
67	525
68	615230
68	615240
68	615251
69	325613
70	485233
71	730307
71	730357
72	526304
73	316801
73	325881
74	107104
75	316470
75	316611
76	615230
76	615240
76	615251
76	615347
77	730303
78	421453
79	560
80	5115011
80	5115012
80	5115013
80	5115014
81	615347
81	615372
82	166016
83	161024
84	557
84	556
84	555
84	5102111
84	5102112
85	161020
86	730393
86	730436
87	608
88	510594
89	436431
89	4364321
89	4364322
89	570
90	161004
91	557
91	556
91	555
91	5102111
91	5102112
92	566
93	702411
93	525
93	523
93	705445
94	7023371
94	7023372
95	333403
95	333613
96	161018
96	620341
97	485100
98	730363
98	730393
98	730407
99	587
99	421410
100	485233
101	485233
102	557
102	556
102	555
102	5102111
102	5102112
103	306302
103	325309
103	325332
104	730393
105	161003
105	730393
106	730202
107	325332
107	325407
108	306660
108	594
108	325640
108	325663
109	433141
109	537
110	530
111	730202
111	730203
111	730307
112	250201
112	250202
112	2502031
112	2502032
112	250204
112	2502061
112	2502062
112	250207
113	421414
113	421421
113	421447
113	421453
114	306202
114	594
115	485233
116	514877
117	615372
118	131007
119	730348
120	306313
121	597
121	730202
121	730203
122	161003
122	730202
123	702237
124	730202
125	512380
126	620142
127	705445
128	306660
128	594
128	325640
128	325663
129	316306
129	316313
129	316324
129	591
130	523
131	562
132	554
132	652214
133	316101
133	431466
134	411331
134	542
134	620143
134	620261
135	538
136	107104
137	161003
138	316611
139	557
139	556
139	555
139	5102111
139	5102112
140	333402
140	333403
140	333613
141	620221
