107099	155	0
107104	19	0
107112	63	0
109001	11	0
109004	6	0
109015	5	0
110020	15	0
110023	57	0
110024	57	1
110028	23	0
1100351	33	0
1100352	33	1
110039	49	0
110041	52	0
110043	15	0
110048	25	0
110064	19	0
110068	46	0
110072	31	0
110074	23	0
110077	8	0
110082	4	0
110099	129	0
110107	78	0
110115	54	0
110118	22	0
110130	23	1
110133	10	0
1101601	27	0
1101602	27	1
1101621	33	0
1101622	33	1
115012	28	0
115014	8	0
115018	4	1
115020	45	0
115022	29	0
116049	93	0
121006	75	0
121010	114	0
121012	181	0
121023	25	0
121025	73	0
121039	31	0
126010	64	0
126019	33	0
131007	217	0
131009	120	0
136028	141	0
161002	158	0
161003	161	0
161004	183	0
161010	35	0
161011	30	0
161013	39	0
161015	28	0
161018	36	0
161019	66	0
161020	48	0
161022	33	0
161024	65	0
161026	32	0
166016	159	0
166019	47	0
166030	66	0
166040	58	0
175004	104	0
175005	79	0
175010	58	1
175011	44	1
175014	34	0
202106	135	0
206104	40	0
211101	25	0
211412	15	0
211441	32	0
212201	47	0
212207	29	0
212314	41	0
212315	44	0
212358	36	0
212404	20	0
212406	26	0
212409	24	0
212411	35	0
250001	81	0
250101	81	0
250103	82	0
250104	82	0
250105	81	0
250201	73	0
250202	73	1
2502031	73	0
2502032	73	1
250204	72	0
2502061	72	0
2502062	72	1
250207	73	0
300203	107	0
3003301	82	0
3003302	82	0
300406	19	0
300408	24	0
300410	37	0
306103	889	0
306104	170	0
306202	415	0
306207	71	0
306301	399	0
306302	237	0
306304	191	0
306313	36	0
306660	52	0
316101	185	0
316102	1561	0
316130	509	0
316202	851	0
316205	330	0
316206	318	0
316301	151	0
316302	55	0
316306	176	0
316313	188	0
316316	248	0
316317	135	0
316324	35	0
316328	77	0
316329	32	0
316335	10	0
316403	13	0
316462	22	0
316467	12	0
316468	42	0
316470	26	0
316611	21	0
316612	18	0
316654	7	0
316680	48	1
316801	54	0
316804	5	0
316806	20	0
